kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,4449,4492,4489,4470,4477,4486,4473,4473,4479,4473,4449,4492,4489,4470,4477,4486,4473,4473,4479,4473
kmeans,5151251,5109623,5126500,5156691,5172902,5131110,5139729,5109293,5158037,5144974,37059.359712,36759.877698,36881.294964,37098.496403,37215.122302,36914.460432,36976.467626,36757.503597,37108.179856,37014.201439
lavamd,848763,848745,848742,848741,848749,848739,848730,848746,848769,848734,848763,848745,848742,848741,848749,848739,848730,848746,848769,848734
nn,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
nw1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
nw2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
pathfinder,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
srad,93338,103288,112804,127656,114809,111003,128789,110687,91169,107067,9333.8,10328.8,11280.4,12765.6,11480.9,11100.3,12878.9,11068.7,9116.9,10706.7
backprop1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
backprop2,9774,16118,9901,10026,9981,9643,9987,10041,10047,9924,9774,16118,9901,10026,9981,9643,9987,10041,10047,9924
lud1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
lud2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
lud3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
leukocyte1,9763247,9807842,9691780,9807834,9928373,9757507,9610119,9669106,9796500,9733108,9763247,9807842,9691780,9807834,9928373,9757507,9610119,9669106,9796500,9733108
leukocyte2,6908222,6980766,6810620,6979925,6922577,6740285,6754358,6974268,6881302,6976277,6908222,6980766,6810620,6979925,6922577,6740285,6754358,6974268,6881302,6976277
hybridsort1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
hybridsort2,23116,23213,23019,23074,23105,23168,23077,23059,23090,23262,23116,23213,23019,23074,23105,23168,23077,23059,23090,23262
hybridsort3,9577,9188,9882,9866,10184,9646,9220,10300,9417,10638,9577,9188,9882,9866,10184,9646,9220,10300,9417,10638
hotspot3D,278748,284318,279103,282561,277398,282175,280761,280203,285629,278494,92916,94772.666667,93034.333333,94187,92466,94058.333333,93587,93401,95209.666667,92831.333333
cfd,463,440,475,438,441,439,438,444,440,465,463,440,475,438,441,439,438,444,440,465
bptree,50400,49887,50018,50205,49840,50021,50008,49902,50369,49900,50400,49887,50018,50205,49840,50021,50008,49902,50369,49900
particlefilter1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
particlefilter2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
streamcluster,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
bfs,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
fft,335,337,362,360,361,335,369,365,361,370,335,337,362,360,361,335,369,365,361,370
gemm,283,293,284,278,288,262,304,284,279,304,283,293,284,278,288,262,304,284,279,304
md,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
md5hash,43278,43262,43259,43257,43263,43272,43271,43256,43275,43257,43278,43262,43259,43257,43263,43272,43271,43256,43275,43257
reduction,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
spmv,4839,4888,4894,4858,4849,4860,4903,4908,4915,4877,4839,4888,4894,4858,4849,4860,4903,4908,4915,4877
stencil2d,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
scan,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
ndrsd1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
ndrsd2,123958,122637,125042,121782,122528,124438,125259,123847,124075,120494,123958,122637,125042,121782,122528,124438,125259,123847,124075,120494
ndrsd3,987,988,1020,980,1018,1018,992,1004,1025,1020,987,988,1020,980,1018,1018,992,1004,1025,1020
ndrsd4,116341,131727,112869,108185,126678,103419,95849,95849,118924,134548,116341,131727,112869,108185,126678,103419,95849,95849,118924,134548
ndrsdfull,19999,20160,20223,20867,19998,19993,20173,20173,19996,20050,19999,20160,20223,20867,19998,19993,20173,20173,19996,20050
