kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,3223,3157,3209,3206,3178,3181,3171,3164,3211,3219,3223.000000,3157.000000,3209.000000,3206.000000,3178.000000,3181.000000,3171.000000,3164.000000,3211.000000,3219.000000
kmeans,2347259,2349175,2347954,2352836,2347742,2342720,2344147,2352087,2355826,2351055,16886.755396,16900.539568,16891.755396,16926.877698,16890.230216,16854.100719,16864.366906,16921.489209,16948.388489,16914.064748
lavamd,728748,728768,728772,728768,728777,728775,728762,728758,728770,728727,728748.000000,728768.000000,728772.000000,728768.000000,728777.000000,728775.000000,728762.000000,728758.000000,728770.000000,728727.000000
nn,202,198,195,219,223,224,220,227,205,197,202.000000,198.000000,195.000000,219.000000,223.000000,224.000000,220.000000,227.000000,205.000000,197.000000
nw1,45162,44278,45412,44765,45384,44998,44159,44629,45082,44776,352.828125,345.921875,354.781250,349.726562,354.562500,351.546875,344.992188,348.664062,352.203125,349.812500
nw2,42342,41992,41658,42111,42342,41291,41802,41955,41649,41692,333.401575,330.645669,328.015748,331.582677,333.401575,325.125984,329.149606,330.354331,327.944882,328.283465
pathfinder,407413,407406,407333,407471,407421,407413,407419,407381,407408,407459,81482.600000,81481.200000,81466.600000,81494.200000,81484.200000,81482.600000,81483.800000,81476.200000,81481.600000,81491.800000
srad,12804,12809,12849,12702,12718,12837,12917,12605,12803,12718,1280.400000,1280.900000,1284.900000,1270.200000,1271.800000,1283.700000,1291.700000,1260.500000,1280.300000,1271.800000
backprop1,23540,23554,23576,23541,23589,23490,23589,23593,23562,23562,23540.000000,23554.000000,23576.000000,23541.000000,23589.000000,23490.000000,23589.000000,23593.000000,23562.000000,23562.000000
backprop2,4652,4713,4719,4725,4665,4720,4762,4715,4752,4724,4652.000000,4713.000000,4719.000000,4725.000000,4665.000000,4720.000000,4762.000000,4715.000000,4752.000000,4724.000000
lud1,102,104,103,98,115,103,103,101,102,106,102.000000,104.000000,103.000000,98.000000,115.000000,103.000000,103.000000,101.000000,102.000000,106.000000
lud2,1132,1167,1115,1152,1149,1106,1172,1171,1137,1145,1132.000000,1167.000000,1115.000000,1152.000000,1149.000000,1106.000000,1172.000000,1171.000000,1137.000000,1145.000000
lud3,51223,51196,51221,51221,51209,51222,51219,51220,51219,51214,51223.000000,51196.000000,51221.000000,51221.000000,51209.000000,51222.000000,51219.000000,51220.000000,51219.000000,51214.000000
leukocyte1,417244,417226,417240,417189,417216,417223,417230,417226,417226,417236,417244.000000,417226.000000,417240.000000,417189.000000,417216.000000,417223.000000,417230.000000,417226.000000,417226.000000,417236.000000
leukocyte2,272874,271477,272965,272908,272913,272828,272843,272929,272810,272900,272874.000000,271477.000000,272965.000000,272908.000000,272913.000000,272828.000000,272843.000000,272929.000000,272810.000000,272900.000000
hybridsort1,5902,5955,5906,5950,5969,5951,5922,5914,5989,5952,5902.000000,5955.000000,5906.000000,5950.000000,5969.000000,5951.000000,5922.000000,5914.000000,5989.000000,5952.000000
hybridsort2,13186,13276,12977,12999,12955,13258,12958,13070,13135,13223,13186.000000,13276.000000,12977.000000,12999.000000,12955.000000,13258.000000,12958.000000,13070.000000,13135.000000,13223.000000
hybridsort3,1628,1632,1643,1617,1557,1548,1664,1644,1618,1653,1628.000000,1632.000000,1643.000000,1617.000000,1557.000000,1548.000000,1664.000000,1644.000000,1618.000000,1653.000000
hotspot3D,289902,296088,295621,294232,298807,295244,296333,293019,292523,299170,96634.000000,98696.000000,98540.333333,98077.333333,99602.333333,98414.666667,98777.666667,97673.000000,97507.666667,99723.333333
cfd,454,438,421,467,461,450,470,455,473,391,454.000000,438.000000,421.000000,467.000000,461.000000,450.000000,470.000000,455.000000,473.000000,391.000000
bptree,20388,20381,20379,20383,20247,20357,20307,20266,20394,20475,20388.000000,20381.000000,20379.000000,20383.000000,20247.000000,20357.000000,20307.000000,20266.000000,20394.000000,20475.000000
particlefilter1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
particlefilter2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
streamcluster,50508,49779,47323,50543,56167,54229,51427,50785,52578,49320,50508.000000,49779.000000,47323.000000,50543.000000,56167.000000,54229.000000,51427.000000,50785.000000,52578.000000,49320.000000
bfs,1961,1961,1897,1984,1965,1911,1846,1955,1976,1999,196.100000,196.100000,189.700000,198.400000,196.500000,191.100000,184.600000,195.500000,197.600000,199.900000
fft,386,340,364,370,357,348,381,338,354,353,386.000000,340.000000,364.000000,370.000000,357.000000,348.000000,381.000000,338.000000,354.000000,353.000000
gemm,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
md,9086,8993,8675,8896,9078,8861,8737,8953,9038,8805,9086.000000,8993.000000,8675.000000,8896.000000,9078.000000,8861.000000,8737.000000,8953.000000,9038.000000,8805.000000
md5hash,39072,39034,39066,39045,39062,39094,39040,39058,39048,39051,39072.000000,39034.000000,39066.000000,39045.000000,39062.000000,39094.000000,39040.000000,39058.000000,39048.000000,39051.000000
reduction,577,545,621,530,604,569,625,585,525,572,577.000000,545.000000,621.000000,530.000000,604.000000,569.000000,625.000000,585.000000,525.000000,572.000000
spmv,4586,4563,4597,4583,4558,4519,4562,4559,4572,4519,4586.000000,4563.000000,4597.000000,4583.000000,4558.000000,4519.000000,4562.000000,4559.000000,4572.000000,4519.000000
stencil2d,1280,1286,1282,1273,1282,1299,1299,1283,1292,1273,1280.000000,1286.000000,1282.000000,1273.000000,1282.000000,1299.000000,1299.000000,1283.000000,1292.000000,1273.000000
scan,2720,2718,2710,2685,2716,2645,2646,2720,2672,2716,2720.000000,2718.000000,2710.000000,2685.000000,2716.000000,2645.000000,2646.000000,2720.000000,2672.000000,2716.000000
ndrsd1,3721,3772,3700,3692,3697,3742,3707,3701,3741,3773,3721.000000,3772.000000,3700.000000,3692.000000,3697.000000,3742.000000,3707.000000,3701.000000,3741.000000,3773.000000
ndrsd2,9922,9906,10135,9983,10059,9960,10090,9999,9952,10020,9922.000000,9906.000000,10135.000000,9983.000000,10059.000000,9960.000000,10090.000000,9999.000000,9952.000000,10020.000000
ndrsd3,711,722,743,736,763,730,782,727,725,713,711.000000,722.000000,743.000000,736.000000,763.000000,730.000000,782.000000,727.000000,725.000000,713.000000
ndrsd4,36776,36772,36751,36789,36793,36757,36768,36797,36808,36799,36776.000000,36772.000000,36751.000000,36789.000000,36793.000000,36757.000000,36768.000000,36797.000000,36808.000000,36799.000000
ndrsdfull,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
