kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,3225,3174.5,3210.5,3206.5,3159,3156,3177,3180.5,3215,3227.5,3225,3174.5,3210.5,3206.5,3159,3156,3177,3180.5,3215,3227.5
kmeans,2351209.5,2347954.5,2346790.5,2351312.5,2347595.5,2348007,2347333,2348175,2355558.5,2348528.5,16915.176259,16891.7589925,16883.384892,16915.9172665,16889.176259,16892.1366905,16887.2877695,16893.345324,16946.4640285,16895.888489
lavamd,728746.5,728760.5,728770.5,728771.5,728777,728772.5,728765,728752,728762,728742.5,728746.5,728760.5,728770.5,728771.5,728777,728772.5,728765,728752,728762,728742.5
nn,197.5,197.5,196,213.5,209,224,215.5,226.5,204,196,197.5,197.5,196,213.5,209,224,215.5,226.5,204,196
nw1,44808.5,44712.5,45185,44891,44984,45092,44586.5,44509.5,45224,44685,350.0664065,349.3164065,353.0078125,350.710937,351.4375,352.28125,348.3320315,347.7304685,353.3125,349.1015625
nw2,42212.5,41946.5,41785.5,42242,42261,41178.5,41835.5,42032,42063,42033,332.38189,330.2874015,329.019685,332.614173,332.7637795,324.2401575,329.4133855,330.96063,331.2047245,330.968504
pathfinder,407446,407431,407400.5,407468,407452,407431.5,407441.5,407410.5,407428.5,407451,81489.2,81486.2,81480.1,81493.6,81490.4,81486.3,81488.3,81482.1,81485.7,81490.2
srad,12837,12764,12826.5,12666.5,12700.5,12707.5,12850.5,12713.5,12715.5,12742.5,1283.7,1276.4,1282.65,1266.65,1270.05,1270.75,1285.05,1271.35,1271.55,1274.25
backprop1,23548,23565,23569,23552.5,23578,23524,23559.5,23570,23568,23556.5,23548,23565,23569,23552.5,23578,23524,23559.5,23570,23568,23556.5
backprop2,4687.5,4722.5,4746,4737,4713.5,4731,4743.5,4726.5,4739,4727.5,4687.5,4722.5,4746,4737,4713.5,4731,4743.5,4726.5,4739,4727.5
lud1,101.5,103,102.5,116,119,107.5,102,102,102.5,106,101.5,103,102.5,116,119,107.5,102,102,102.5,106
lud2,1140.5,1168.5,1115.5,1161.5,1148,1106,1153,1169,1128,1145.5,1140.5,1168.5,1115.5,1161.5,1148,1106,1153,1169,1128,1145.5
lud3,51209.5,51202.5,51220,51228,51221,51224.5,51230.5,51225.5,51228.5,51219.5,51209.5,51202.5,51220,51228,51221,51224.5,51230.5,51225.5,51228.5,51219.5
leukocyte1,417207.5,417206.5,417229.5,417204,417222.5,417213.5,417234.5,417230,417226,417228.5,417207.5,417206.5,417229.5,417204,417222.5,417213.5,417234.5,417230,417226,417228.5
leukocyte2,272865,272168,272907.5,272895,272877,272840.5,272858,272888,272852.5,272894,272865,272168,272907.5,272895,272877,272840.5,272858,272888,272852.5,272894
hybridsort1,5918.5,5973.5,5930,5913,5948.5,5929,5942,5915,5976,5941,5918.5,5973.5,5930,5913,5948.5,5929,5942,5915,5976,5941
