kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,353,353,353,354,352,354,353,353,354,354,353.000000,353.000000,353.000000,354.000000,352.000000,354.000000,353.000000,353.000000,354.000000,354.000000
kmeans,46062,46083,46062,46050,46031,46073,45900,46209,46055,46001,383.850000,384.025000,383.850000,383.750000,383.591667,383.941667,382.500000,385.075000,383.791667,383.341667
lavamd,32699,32669,32734,32733,32775,32722,32678,32796,32704,32701,32699.000000,32669.000000,32734.000000,32733.000000,32775.000000,32722.000000,32678.000000,32796.000000,32704.000000,32701.000000
nn,40,39,39,39,41,39,40,40,39,39,40.000000,39.000000,39.000000,39.000000,41.000000,39.000000,40.000000,40.000000,39.000000,39.000000
nw1,5858,5778,5866,5767,5894,5940,5876,5795,5820,5682,45.765625,45.140625,45.828125,45.054688,46.046875,46.406250,45.906250,45.273438,45.468750,44.390625
nw2,5834,5946,5990,5919,5927,6039,5787,5946,5833,5862,45.937008,46.818898,47.165354,46.606299,46.669291,47.551181,45.566929,46.818898,45.929134,46.157480
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,3057,3177,3184,3310,3181,3181,3189,3192,3173,3171,305.700000,317.700000,318.400000,331.000000,318.100000,318.100000,318.900000,319.200000,317.300000,317.100000
backprop1,520,520,518,521,593,518,519,516,521,517,520.000000,520.000000,518.000000,521.000000,593.000000,518.000000,519.000000,516.000000,521.000000,517.000000
backprop2,728,730,801,731,927,728,731,729,730,728,728.000000,730.000000,801.000000,731.000000,927.000000,728.000000,731.000000,729.000000,730.000000,728.000000
lud1,55,56,56,56,57,56,56,56,56,57,55.000000,56.000000,56.000000,56.000000,57.000000,56.000000,56.000000,56.000000,56.000000,57.000000
lud2,112,113,112,118,118,114,111,114,113,112,112.000000,113.000000,112.000000,118.000000,118.000000,114.000000,111.000000,114.000000,113.000000,112.000000
lud3,453,452,453,452,453,451,453,450,455,451,453.000000,452.000000,453.000000,452.000000,453.000000,451.000000,453.000000,450.000000,455.000000,451.000000
leukocyte1,13888,13843,13860,13865,13883,13871,13791,13821,13820,13885,13888.000000,13843.000000,13860.000000,13865.000000,13883.000000,13871.000000,13791.000000,13821.000000,13820.000000,13885.000000
leukocyte2,5981,5989,5985,5986,6000,5982,5979,6003,5983,6010,5981.000000,5989.000000,5985.000000,5986.000000,6000.000000,5982.000000,5979.000000,6003.000000,5983.000000,6010.000000
hybridsort1,645,646,644,645,645,644,644,645,644,644,645.000000,646.000000,644.000000,645.000000,645.000000,644.000000,644.000000,645.000000,644.000000,644.000000
hybridsort2,871,875,876,875,874,868,871,873,874,876,871.000000,875.000000,876.000000,875.000000,874.000000,868.000000,871.000000,873.000000,874.000000,876.000000
hybridsort3,344,344,347,346,345,343,348,347,345,341,344.000000,344.000000,347.000000,346.000000,345.000000,343.000000,348.000000,347.000000,345.000000,341.000000
hotspot3D,3121,3301,3115,3115,3119,3116,3113,3304,3117,3300,1040.333333,1100.333333,1038.333333,1038.333333,1039.666667,1038.666667,1037.666667,1101.333333,1039.000000,1100.000000
cfd,99,100,101,100,102,101,99,100,104,101,99.000000,100.000000,101.000000,100.000000,102.000000,101.000000,99.000000,100.000000,104.000000,101.000000
bptree,3059,3031,3030,3037,3032,3031,3032,3038,3061,3027,3059.000000,3031.000000,3030.000000,3037.000000,3032.000000,3031.000000,3032.000000,3038.000000,3061.000000,3027.000000
particlefilter1,50384,50367,50375,50383,50375,50391,50380,50375,50372,50384,50384.000000,50367.000000,50375.000000,50383.000000,50375.000000,50391.000000,50380.000000,50375.000000,50372.000000,50384.000000
particlefilter2,8803,8801,8800,8804,8802,8802,8801,8803,8799,8803,8803.000000,8801.000000,8800.000000,8804.000000,8802.000000,8802.000000,8801.000000,8803.000000,8799.000000,8803.000000
streamcluster,879,885,876,888,881,875,878,884,884,881,879.000000,885.000000,876.000000,888.000000,881.000000,875.000000,878.000000,884.000000,884.000000,881.000000
bfs,,,,,,,,,,,,,,,,,,,,
fft,71,72,71,71,71,72,69,72,70,73,71.000000,72.000000,71.000000,71.000000,71.000000,72.000000,69.000000,72.000000,70.000000,73.000000
gemm,49,49,49,48,50,49,49,49,51,50,49.000000,49.000000,49.000000,48.000000,50.000000,49.000000,49.000000,49.000000,51.000000,50.000000
md,885,882,884,881,883,883,880,881,882,894,885.000000,882.000000,884.000000,881.000000,883.000000,883.000000,880.000000,881.000000,882.000000,894.000000
md5hash,10134,10133,10133,10134,10138,10135,10141,10137,10135,10136,10134.000000,10133.000000,10133.000000,10134.000000,10138.000000,10135.000000,10141.000000,10137.000000,10135.000000,10136.000000
reduction,44,44,44,44,46,45,46,43,46,44,44.000000,44.000000,44.000000,44.000000,46.000000,45.000000,46.000000,43.000000,46.000000,44.000000
spmv,143,140,138,138,139,136,137,135,137,138,143.000000,140.000000,138.000000,138.000000,139.000000,136.000000,137.000000,135.000000,137.000000,138.000000
stencil2d,98,108,115,99,99,101,104,103,104,102,98.000000,108.000000,115.000000,99.000000,99.000000,101.000000,104.000000,103.000000,104.000000,102.000000
scan,81,81,80,79,80,81,82,81,81,80,81.000000,81.000000,80.000000,79.000000,80.000000,81.000000,82.000000,81.000000,81.000000,80.000000
ndrsd1,1417,1394,1390,1411,1397,1411,1420,1389,1395,1394,1417.000000,1394.000000,1390.000000,1411.000000,1397.000000,1411.000000,1420.000000,1389.000000,1395.000000,1394.000000
ndrsd2,3342,3336,3335,3340,3338,3345,3339,3337,3339,3341,3342.000000,3336.000000,3335.000000,3340.000000,3338.000000,3345.000000,3339.000000,3337.000000,3339.000000,3341.000000
ndrsd3,380,367,374,373,372,367,376,373,369,373,380.000000,367.000000,374.000000,373.000000,372.000000,367.000000,376.000000,373.000000,369.000000,373.000000
ndrsd4,7194,7202,7189,7206,7213,7204,7207,7203,7204,7205,7194.000000,7202.000000,7189.000000,7206.000000,7213.000000,7204.000000,7207.000000,7203.000000,7204.000000,7205.000000
ndrsdfull,7290,7204,7273,7225,7317,7243,7219,7257,7221,7306,7290.000000,7204.000000,7273.000000,7225.000000,7317.000000,7243.000000,7219.000000,7257.000000,7221.000000,7306.000000
