kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,352,352,352,358,353,353,354,354,354,353,352.000000,352.000000,352.000000,358.000000,353.000000,353.000000,354.000000,354.000000,354.000000,353.000000
kmeans,45870,45767,45874,45801,45830,45764,45851,45936,45832,45875,382.250000,381.391667,382.283333,381.675000,381.916667,381.366667,382.091667,382.800000,381.933333,382.291667
lavamd,32765,32741,32722,32712,32763,32686,32671,32712,32706,32679,32765.000000,32741.000000,32722.000000,32712.000000,32763.000000,32686.000000,32671.000000,32712.000000,32706.000000,32679.000000
nn,41,40,39,39,39,40,41,39,39,39,41.000000,40.000000,39.000000,39.000000,39.000000,40.000000,41.000000,39.000000,39.000000,39.000000
nw1,5893,5897,5914,5745,5873,5931,5804,5701,5774,5864,46.039062,46.070312,46.203125,44.882812,45.882812,46.335938,45.343750,44.539062,45.109375,45.812500
nw2,5826,5791,5886,5876,5784,5920,5863,5874,5868,5823,45.874016,45.598425,46.346457,46.267717,45.543307,46.614173,46.165354,46.251969,46.204724,45.850394
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,3223,3172,3173,3179,3182,3166,3171,3216,3179,3179,322.300000,317.200000,317.300000,317.900000,318.200000,316.600000,317.100000,321.600000,317.900000,317.900000
backprop1,522,521,523,525,525,525,520,519,524,520,522.000000,521.000000,523.000000,525.000000,525.000000,525.000000,520.000000,519.000000,524.000000,520.000000
backprop2,754,730,753,733,734,743,732,751,730,735,754.000000,730.000000,753.000000,733.000000,734.000000,743.000000,732.000000,751.000000,730.000000,735.000000
lud1,59,55,56,56,57,55,58,56,57,56,59.000000,55.000000,56.000000,56.000000,57.000000,55.000000,58.000000,56.000000,57.000000,56.000000
lud2,114,113,112,112,112,113,112,111,112,114,114.000000,113.000000,112.000000,112.000000,112.000000,113.000000,112.000000,111.000000,112.000000,114.000000
lud3,455,454,454,456,448,455,452,451,454,453,455.000000,454.000000,454.000000,456.000000,448.000000,455.000000,452.000000,451.000000,454.000000,453.000000
leukocyte1,13888,13887,13830,13865,13899,13827,13892,13889,13841,13878,13888.000000,13887.000000,13830.000000,13865.000000,13899.000000,13827.000000,13892.000000,13889.000000,13841.000000,13878.000000
leukocyte2,6012,5999,5986,5987,5984,5991,5981,6008,5996,5982,6012.000000,5999.000000,5986.000000,5987.000000,5984.000000,5991.000000,5981.000000,6008.000000,5996.000000,5982.000000
hybridsort1,647,644,646,650,647,644,648,644,648,644,647.000000,644.000000,646.000000,650.000000,647.000000,644.000000,648.000000,644.000000,648.000000,644.000000
hybridsort2,873,869,878,871,876,886,877,868,874,871,873.000000,869.000000,878.000000,871.000000,876.000000,886.000000,877.000000,868.000000,874.000000,871.000000
hybridsort3,344,342,346,351,347,341,348,341,345,346,344.000000,342.000000,346.000000,351.000000,347.000000,341.000000,348.000000,341.000000,345.000000,346.000000
hotspot3D,3146,3132,3123,3176,3145,3110,3166,3137,3176,3132,1048.666667,1044.000000,1041.000000,1058.666667,1048.333333,1036.666667,1055.333333,1045.666667,1058.666667,1044.000000
cfd,103,99,103,100,102,101,102,101,101,103,103.000000,99.000000,103.000000,100.000000,102.000000,101.000000,102.000000,101.000000,101.000000,103.000000
bptree,3032,3030,3039,3037,3029,3028,3030,3037,3048,3036,3032.000000,3030.000000,3039.000000,3037.000000,3029.000000,3028.000000,3030.000000,3037.000000,3048.000000,3036.000000
particlefilter1,50400,50410,50403,50386,50400,50415,50409,50400,50436,50404,50400.000000,50410.000000,50403.000000,50386.000000,50400.000000,50415.000000,50409.000000,50400.000000,50436.000000,50404.000000
particlefilter2,8805,8803,8804,8806,8805,8803,8807,8806,8807,8807,8805.000000,8803.000000,8804.000000,8806.000000,8805.000000,8803.000000,8807.000000,8806.000000,8807.000000,8807.000000
streamcluster,885,879,874,885,881,941,910,902,905,915,885.000000,879.000000,874.000000,885.000000,881.000000,941.000000,910.000000,902.000000,905.000000,915.000000
bfs,,,,,,,,,,,,,,,,,,,,
fft,72,69,70,70,69,71,68,70,70,70,72.000000,69.000000,70.000000,70.000000,69.000000,71.000000,68.000000,70.000000,70.000000,70.000000
gemm,51,49,50,49,50,50,49,50,50,49,51.000000,49.000000,50.000000,49.000000,50.000000,50.000000,49.000000,50.000000,50.000000,49.000000
md,885,884,885,885,885,884,888,885,882,883,885.000000,884.000000,885.000000,885.000000,885.000000,884.000000,888.000000,885.000000,882.000000,883.000000
md5hash,10134,10131,10215,10131,10138,10135,10134,10132,10135,10137,10134.000000,10131.000000,10215.000000,10131.000000,10138.000000,10135.000000,10134.000000,10132.000000,10135.000000,10137.000000
reduction,46,46,46,44,44,44,45,45,45,45,46.000000,46.000000,46.000000,44.000000,44.000000,44.000000,45.000000,45.000000,45.000000,45.000000
spmv,137,135,136,136,135,136,136,136,135,136,137.000000,135.000000,136.000000,136.000000,135.000000,136.000000,136.000000,136.000000,135.000000,136.000000
stencil2d,102,104,100,100,103,102,101,102,101,101,102.000000,104.000000,100.000000,100.000000,103.000000,102.000000,101.000000,102.000000,101.000000,101.000000
scan,81,78,79,80,80,80,81,82,81,79,81.000000,78.000000,79.000000,80.000000,80.000000,80.000000,81.000000,82.000000,81.000000,79.000000
ndrsd1,1394,1425,1409,1407,1398,1390,1404,1405,1384,1421,1394.000000,1425.000000,1409.000000,1407.000000,1398.000000,1390.000000,1404.000000,1405.000000,1384.000000,1421.000000
ndrsd2,3332,3349,3337,3336,3339,3348,3337,3337,3336,3346,3332.000000,3349.000000,3337.000000,3336.000000,3339.000000,3348.000000,3337.000000,3337.000000,3336.000000,3346.000000
ndrsd3,377,375,370,372,371,395,375,369,377,377,377.000000,375.000000,370.000000,372.000000,371.000000,395.000000,375.000000,369.000000,377.000000,377.000000
