kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,87,85,85,86,86,86,86,86,86,86,87.000000,85.000000,85.000000,86.000000,86.000000,86.000000,86.000000,86.000000,86.000000,86.000000
kmeans,24336,24248,24302,24324,24259,24266,24276,24297,24339,24242,202.800000,202.066667,202.516667,202.700000,202.158333,202.216667,202.300000,202.475000,202.825000,202.016667
lavamd,5448,5465,5528,5485,5468,5474,5529,5543,5496,5487,5448.000000,5465.000000,5528.000000,5485.000000,5468.000000,5474.000000,5529.000000,5543.000000,5496.000000,5487.000000
nn,36,44,38,37,36,38,37,38,36,37,36.000000,44.000000,38.000000,37.000000,36.000000,38.000000,37.000000,38.000000,36.000000,37.000000
nw1,4089,4024,3892,3981,4000,4103,4018,3969,4015,4064,31.945312,31.437500,30.406250,31.101562,31.250000,32.054688,31.390625,31.007812,31.367188,31.750000
nw2,3948,3938,3913,4028,3896,3801,3860,4032,3896,3899,31.086614,31.007874,30.811024,31.716535,30.677165,29.929134,30.393701,31.748031,30.677165,30.700787
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,779,771,776,777,787,772,772,775,775,772,77.900000,77.100000,77.600000,77.700000,78.700000,77.200000,77.200000,77.500000,77.500000,77.200000
backprop1,113,112,112,114,114,113,113,113,114,113,113.000000,112.000000,112.000000,114.000000,114.000000,113.000000,113.000000,113.000000,114.000000,113.000000
backprop2,275,273,272,273,274,273,272,272,272,273,275.000000,273.000000,272.000000,273.000000,274.000000,273.000000,272.000000,272.000000,272.000000,273.000000
lud1,56,54,53,52,54,55,53,53,53,65,56.000000,54.000000,53.000000,52.000000,54.000000,55.000000,53.000000,53.000000,53.000000,65.000000
lud2,59,59,59,57,57,74,57,58,59,58,59.000000,59.000000,59.000000,57.000000,57.000000,74.000000,57.000000,58.000000,59.000000,58.000000
lud3,107,108,106,106,107,106,108,108,107,108,107.000000,108.000000,106.000000,106.000000,107.000000,106.000000,108.000000,108.000000,107.000000,108.000000
leukocyte1,3153,3071,3070,3164,3165,3160,3155,3067,3070,3154,3153.000000,3071.000000,3070.000000,3164.000000,3165.000000,3160.000000,3155.000000,3067.000000,3070.000000,3154.000000
leukocyte2,1011,1018,1013,1016,1007,1013,1012,1013,1018,1015,1011.000000,1018.000000,1013.000000,1016.000000,1007.000000,1013.000000,1012.000000,1013.000000,1018.000000,1015.000000
hybridsort1,140,140,140,141,141,141,138,146,140,139,140.000000,140.000000,140.000000,141.000000,141.000000,141.000000,138.000000,146.000000,140.000000,139.000000
hybridsort2,522,523,521,519,524,523,520,522,522,521,522.000000,523.000000,521.000000,519.000000,524.000000,523.000000,520.000000,522.000000,522.000000,521.000000
hybridsort3,83,84,84,83,86,85,83,84,84,84,83.000000,84.000000,84.000000,83.000000,86.000000,85.000000,83.000000,84.000000,84.000000,84.000000
hotspot3D,558,570,553,574,554,555,551,551,553,555,186.000000,190.000000,184.333333,191.333333,184.666667,185.000000,183.666667,183.666667,184.333333,185.000000
cfd,46,45,45,45,45,46,45,45,46,45,46.000000,45.000000,45.000000,45.000000,45.000000,46.000000,45.000000,45.000000,46.000000,45.000000
bptree,514,514,512,512,514,522,516,512,516,515,514.000000,514.000000,512.000000,512.000000,514.000000,522.000000,516.000000,512.000000,516.000000,515.000000
particlefilter1,11700,11767,11712,11709,11687,11756,11688,11731,11681,11702,11700.000000,11767.000000,11712.000000,11709.000000,11687.000000,11756.000000,11688.000000,11731.000000,11681.000000,11702.000000
particlefilter2,10040,10042,10039,10040,10039,10038,10040,10045,10040,10038,10040.000000,10042.000000,10039.000000,10040.000000,10039.000000,10038.000000,10040.000000,10045.000000,10040.000000,10038.000000
streamcluster,173,170,171,170,172,170,187,172,170,171,173.000000,170.000000,171.000000,170.000000,172.000000,170.000000,187.000000,172.000000,170.000000,171.000000
bfs,,,,,,,,,,,,,,,,,,,,
fft,51,49,50,50,50,49,50,49,50,49,51.000000,49.000000,50.000000,50.000000,50.000000,49.000000,50.000000,49.000000,50.000000,49.000000
gemm,48,47,48,48,47,48,49,48,48,48,48.000000,47.000000,48.000000,48.000000,47.000000,48.000000,49.000000,48.000000,48.000000,48.000000
md,159,163,159,158,158,160,159,159,159,159,159.000000,163.000000,159.000000,158.000000,158.000000,160.000000,159.000000,159.000000,159.000000,159.000000
md5hash,1549,1547,1545,1549,1552,1552,1552,1547,1548,1552,1549.000000,1547.000000,1545.000000,1549.000000,1552.000000,1552.000000,1552.000000,1547.000000,1548.000000,1552.000000
reduction,35,35,35,34,35,34,35,35,35,35,35.000000,35.000000,35.000000,34.000000,35.000000,34.000000,35.000000,35.000000,35.000000,35.000000
spmv,51,46,47,47,48,47,47,48,48,47,51.000000,46.000000,47.000000,47.000000,48.000000,47.000000,47.000000,48.000000,48.000000,47.000000
stencil2d,52,51,52,51,50,52,51,49,51,50,52.000000,51.000000,52.000000,51.000000,50.000000,52.000000,51.000000,49.000000,51.000000,50.000000
scan,45,44,44,51,43,43,44,43,44,43,45.000000,44.000000,44.000000,51.000000,43.000000,43.000000,44.000000,43.000000,44.000000,43.000000
ndrsd1,1348,1338,1346,1339,1352,1345,1346,1341,1339,1351,1348.000000,1338.000000,1346.000000,1339.000000,1352.000000,1345.000000,1346.000000,1341.000000,1339.000000,1351.000000
ndrsd2,3264,3258,3255,3249,3264,3252,3253,3263,3245,3252,3264.000000,3258.000000,3255.000000,3249.000000,3264.000000,3252.000000,3253.000000,3263.000000,3245.000000,3252.000000
ndrsd3,372,357,361,355,385,355,364,385,386,387,372.000000,357.000000,361.000000,355.000000,385.000000,355.000000,364.000000,385.000000,386.000000,387.000000
ndrsd4,7045,7050,7053,7051,7045,7043,7048,7050,7049,7042,7045.000000,7050.000000,7053.000000,7051.000000,7045.000000,7043.000000,7048.000000,7050.000000,7049.000000,7042.000000
ndrsdfull,6739,6722,6737,6701,6731,6727,6740,6722,6700,6734,6739.000000,6722.000000,6737.000000,6701.000000,6731.000000,6727.000000,6740.000000,6722.000000,6700.000000,6734.000000
