kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,86,86,85,96,86,87,85,86,86,85,86.000000,86.000000,85.000000,96.000000,86.000000,87.000000,85.000000,86.000000,86.000000,85.000000
kmeans,24286,24355,24325,24278,24230,24297,24294,24278,24331,24311,202.383333,202.958333,202.708333,202.316667,201.916667,202.475000,202.450000,202.316667,202.758333,202.591667
lavamd,5493,5510,5474,5470,5473,5464,5532,5459,5430,5468,5493.000000,5510.000000,5474.000000,5470.000000,5473.000000,5464.000000,5532.000000,5459.000000,5430.000000,5468.000000
nn,37,36,36,38,37,38,37,37,36,36,37.000000,36.000000,36.000000,38.000000,37.000000,38.000000,37.000000,37.000000,36.000000,36.000000
nw1,3935,3968,3962,3906,3894,3973,4139,3996,3951,3898,30.742188,31.000000,30.953125,30.515625,30.421875,31.039062,32.335938,31.218750,30.867188,30.453125
nw2,3881,3792,3903,3834,3984,3883,3821,3862,3895,3920,30.559055,29.858268,30.732283,30.188976,31.370079,30.574803,30.086614,30.409449,30.669291,30.866142
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,781,774,772,768,777,771,775,767,768,769,78.100000,77.400000,77.200000,76.800000,77.700000,77.100000,77.500000,76.700000,76.800000,76.900000
backprop1,112,113,112,114,112,112,111,111,114,112,112.000000,113.000000,112.000000,114.000000,112.000000,112.000000,111.000000,111.000000,114.000000,112.000000
backprop2,271,271,272,271,271,272,272,271,272,281,271.000000,271.000000,272.000000,271.000000,271.000000,272.000000,272.000000,271.000000,272.000000,281.000000
lud1,56,54,53,53,54,55,54,55,55,53,56.000000,54.000000,53.000000,53.000000,54.000000,55.000000,54.000000,55.000000,55.000000,53.000000
lud2,57,56,58,59,64,57,57,58,58,59,57.000000,56.000000,58.000000,59.000000,64.000000,57.000000,57.000000,58.000000,58.000000,59.000000
lud3,108,107,106,107,107,106,106,108,106,106,108.000000,107.000000,106.000000,107.000000,107.000000,106.000000,106.000000,108.000000,106.000000,106.000000
leukocyte1,3161,3155,3068,3160,3170,3158,3071,3165,3153,3119,3161.000000,3155.000000,3068.000000,3160.000000,3170.000000,3158.000000,3071.000000,3165.000000,3153.000000,3119.000000
leukocyte2,999,1015,1003,1015,1019,996,1020,1005,1014,1019,999.000000,1015.000000,1003.000000,1015.000000,1019.000000,996.000000,1020.000000,1005.000000,1014.000000,1019.000000
hybridsort1,140,140,140,141,139,139,139,138,150,138,140.000000,140.000000,140.000000,141.000000,139.000000,139.000000,139.000000,138.000000,150.000000,138.000000
hybridsort2,522,536,522,521,521,520,523,522,521,522,522.000000,536.000000,522.000000,521.000000,521.000000,520.000000,523.000000,522.000000,521.000000,522.000000
hybridsort3,83,91,84,92,84,85,85,84,84,85,83.000000,91.000000,84.000000,92.000000,84.000000,85.000000,85.000000,84.000000,84.000000,85.000000
hotspot3D,551,551,559,550,559,552,553,554,557,559,183.666667,183.666667,186.333333,183.333333,186.333333,184.000000,184.333333,184.666667,185.666667,186.333333
cfd,47,46,45,47,45,46,46,44,45,48,47.000000,46.000000,45.000000,47.000000,45.000000,46.000000,46.000000,44.000000,45.000000,48.000000
bptree,514,513,514,512,515,512,514,516,513,513,514.000000,513.000000,514.000000,512.000000,515.000000,512.000000,514.000000,516.000000,513.000000,513.000000
particlefilter1,11681,11734,11718,11715,11760,11729,11700,11693,11704,11654,11681.000000,11734.000000,11718.000000,11715.000000,11760.000000,11729.000000,11700.000000,11693.000000,11704.000000,11654.000000
particlefilter2,10041,10042,10044,10044,10043,10042,10043,10043,10042,10040,10041.000000,10042.000000,10044.000000,10044.000000,10043.000000,10042.000000,10043.000000,10043.000000,10042.000000,10040.000000
streamcluster,171,170,171,171,171,171,172,170,171,170,171.000000,170.000000,171.000000,171.000000,171.000000,171.000000,172.000000,170.000000,171.000000,170.000000
bfs,,,,,,,,,,,,,,,,,,,,
fft,50,50,50,48,49,49,49,50,49,49,50.000000,50.000000,50.000000,48.000000,49.000000,49.000000,49.000000,50.000000,49.000000,49.000000
gemm,48,47,49,47,47,48,48,47,48,47,48.000000,47.000000,49.000000,47.000000,47.000000,48.000000,48.000000,47.000000,48.000000,47.000000
md,159,158,159,159,165,158,159,159,158,158,159.000000,158.000000,159.000000,159.000000,165.000000,158.000000,159.000000,159.000000,158.000000,158.000000
