kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,86.5,85.5,85,91,86,86.5,85.5,86,86,85.5,86.5,85.5,85,91,86,86.5,85.5,86,86,85.5
kmeans,24311,24301.5,24313.5,24301,24244.5,24281.5,24285,24287.5,24335,24276.5,202.5916665,202.5125,202.6125,202.5083335,202.0375,202.3458335,202.375,202.3958335,202.7916665,202.304167
lavamd,5470.5,5487.5,5501,5477.5,5470.5,5469,5530.5,5501,5463,5477.5,5470.5,5487.5,5501,5477.5,5470.5,5469,5530.5,5501,5463,5477.5
nn,36.5,40,37,37.5,36.5,38,37,37.5,36,36.5,36.5,40,37,37.5,36.5,38,37,37.5,36,36.5
nw1,4012,3996,3927,3943.5,3947,4038,4078.5,3982.5,3983,3981,31.34375,31.21875,30.6796875,30.8085935,30.8359375,31.546875,31.8632815,31.113281,31.117188,31.1015625
nw2,3914.5,3865,3908,3931,3940,3842,3840.5,3947,3895.5,3909.5,30.8228345,30.433071,30.7716535,30.9527555,31.023622,30.2519685,30.2401575,31.07874,30.673228,30.7834645
pathfinder,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
srad,780,772.5,774,772.5,782,771.5,773.5,771,771.5,770.5,78,77.25,77.4,77.25,78.2,77.15,77.35,77.1,77.15,77.05
backprop1,112.5,112.5,112,114,113,112.5,112,112,114,112.5,112.5,112.5,112,114,113,112.5,112,112,114,112.5
backprop2,273,272,272,272,272.5,272.5,272,271.5,272,277,273,272,272,272,272.5,272.5,272,271.5,272,277
lud1,56,54,53,52.5,54,55,53.5,54,54,59,56,54,53,52.5,54,55,53.5,54,54,59
lud2,58,57.5,58.5,58,60.5,65.5,57,58,58.5,58.5,58,57.5,58.5,58,60.5,65.5,57,58,58.5,58.5
lud3,107.5,107.5,106,106.5,107,106,107,108,106.5,107,107.5,107.5,106,106.5,107,106,107,108,106.5,107
leukocyte1,3157,3113,3069,3162,3167.5,3159,3113,3116,3111.5,3136.5,3157,3113,3069,3162,3167.5,3159,3113,3116,3111.5,3136.5
leukocyte2,1005,1016.5,1008,1015.5,1013,1004.5,1016,1009,1016,1017,1005,1016.5,1008,1015.5,1013,1004.5,1016,1009,1016,1017
hybridsort1,140,140,140,141,140,140,138.5,142,145,138.5,140,140,140,141,140,140,138.5,142,145,138.5
hybridsort2,522,529.5,521.5,520,522.5,521.5,521.5,522,521.5,521.5,522,529.5,521.5,520,522.5,521.5,521.5,522,521.5,521.5
hybridsort3,83,87.5,84,87.5,85,85,84,84,84,84.5,83,87.5,84,87.5,85,85,84,84,84,84.5
hotspot3D,554.5,560.5,556,562,556.5,553.5,552,552.5,555,557,184.8333335,186.8333335,185.333333,187.333333,185.5,184.5,184,184.166667,185,185.6666665
cfd,46.5,45.5,45,46,45,46,45.5,44.5,45.5,46.5,46.5,45.5,45,46,45,46,45.5,44.5,45.5,46.5
bptree,514,513.5,513,512,514.5,517,515,514,514.5,514,514,513.5,513,512,514.5,517,515,514,514.5,514
particlefilter1,11690.5,11750.5,11715,11712,11723.5,11742.5,11694,11712,11692.5,11678,11690.5,11750.5,11715,11712,11723.5,11742.5,11694,11712,11692.5,11678
particlefilter2,10040.5,10042,10041.5,10042,10041,10040,10041.5,10044,10041,10039,10040.5,10042,10041.5,10042,10041,10040,10041.5,10044,10041,10039
streamcluster,172,170,171,170.5,171.5,170.5,179.5,171,170.5,170.5,172,170,171,170.5,171.5,170.5,179.5,171,170.5,170.5
bfs,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
fft,50.5,49.5,50,49,49.5,49,49.5,49.5,49.5,49,50.5,49.5,50,49,49.5,49,49.5,49.5,49.5,49
gemm,48,47,48.5,47.5,47,48,48.5,47.5,48,47.5,48,47,48.5,47.5,47,48,48.5,47.5,48,47.5
md,159,160.5,159,158.5,161.5,159,159,159,158.5,158.5,159,160.5,159,158.5,161.5,159,159,159,158.5,158.5
md5hash,1549.5,1548.5,1546.5,1548,1550.5,1551.5,1550,1548,1549,1549.5,1549.5,1548.5,1546.5,1548,1550.5,1551.5,1550,1548,1549,1549.5
reduction,35,35.5,40.5,34,34.5,34.5,34.5,35.5,35,35,35,35.5,40.5,34,34.5,34.5,34.5,35.5,35,35
spmv,48.5,47,47,47,47,47,46.5,47.5,47,47,48.5,47,47,47,47,47,46.5,47.5,47,47
stencil2d,51,51.5,51,50.5,50.5,51.5,51.5,50,50,50,51,51.5,51,50.5,50.5,51.5,51.5,50,50,50
scan,45,44,43.5,47.5,43.5,43,44,44,43.5,43.5,45,44,43.5,47.5,43.5,43,44,44,43.5,43.5
ndrsd1,1343.5,1345.5,1348,1354,1347.5,1364.5,1341,1336,1350,1358.5,1343.5,1345.5,1348,1354,1347.5,1364.5,1341,1336,1350,1358.5
ndrsd2,3255.5,3257.5,3259.5,3251.5,3265,3254,3251,3254,3252.5,3251.5,3255.5,3257.5,3259.5,3251.5,3265,3254,3251,3254,3252.5,3251.5
ndrsd3,363.5,357,359.5,355,373,370.5,363,373.5,373,386,363.5,357,359.5,355,373,370.5,363,373.5,373,386
ndrsd4,7043,7045.5,7056.5,7053.5,7044,7044.5,7048.5,7046.5,7048.5,7042.5,7043,7045.5,7056.5,7053.5,7044,7044.5,7048.5,7046.5,7048.5,7042.5
ndrsdfull,6745.5,6732.5,6736.5,6700.5,6749,6730,6727,6731.5,6719.5,6717.5,6745.5,6732.5,6736.5,6700.5,6749,6730,6727,6731.5,6719.5,6717.5
