kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,352.5,352.5,352.5,356,352.5,353.5,353.5,353.5,354,353.5,352.5,352.5,352.5,356,352.5,353.5,353.5,353.5,354,353.5
kmeans,45966,45925,45968,45925.5,45930.5,45918.5,45875.5,46072.5,45943.5,45938,383.05,382.7083335,383.0666665,382.7125,382.754167,382.654167,382.2958335,383.9375,382.8625,382.816667
lavamd,32732,32705,32728,32722.5,32769,32704,32674.5,32754,32705,32690,32732,32705,32728,32722.5,32769,32704,32674.5,32754,32705,32690
nn,40.5,39.5,39,39,40,39.5,40.5,39.5,39,39,40.5,39.5,39,39,40,39.5,40.5,39.5,39,39
nw1,5875.5,5837.5,5890,5756,5883.5,5935.5,5840,5748,5797,5773,45.9023435,45.6054685,46.015625,44.96875,45.9648435,46.371094,45.625,44.90625,45.2890625,45.1015625
nw2,5830,5868.5,5938,5897.5,5855.5,5979.5,5825,5910,5850.5,5842.5,45.905512,46.2086615,46.7559055,46.437008,46.106299,47.082677,45.8661415,46.5354335,46.066929,46.003937
pathfinder,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
srad,3140,3174.5,3178.5,3244.5,3181.5,3173.5,3180,3204,3176,3175,314,317.45,317.85,324.45,318.15,317.35,318,320.4,317.6,317.5
backprop1,521,520.5,520.5,523,559,521.5,519.5,517.5,522.5,518.5,521,520.5,520.5,523,559,521.5,519.5,517.5,522.5,518.5
backprop2,741,730,777,732,830.5,735.5,731.5,740,730,731.5,741,730,777,732,830.5,735.5,731.5,740,730,731.5
lud1,57,55.5,56,56,57,55.5,57,56,56.5,56.5,57,55.5,56,56,57,55.5,57,56,56.5,56.5
lud2,113,113,112,115,115,113.5,111.5,112.5,112.5,113,113,113,112,115,115,113.5,111.5,112.5,112.5,113
lud3,454,453,453.5,454,450.5,453,452.5,450.5,454.5,452,454,453,453.5,454,450.5,453,452.5,450.5,454.5,452
leukocyte1,13888,13865,13845,13865,13891,13849,13841.5,13855,13830.5,13881.5,13888,13865,13845,13865,13891,13849,13841.5,13855,13830.5,13881.5
leukocyte2,5996.5,5994,5985.5,5986.5,5992,5986.5,5980,6005.5,5989.5,5996,5996.5,5994,5985.5,5986.5,5992,5986.5,5980,6005.5,5989.5,5996
hybridsort1,646,645,645,647.5,646,644,646,644.5,646,644,646,645,645,647.5,646,644,646,644.5,646,644
hybridsort2,872,872,877,873,875,877,874,870.5,874,873.5,872,872,877,873,875,877,874,870.5,874,873.5
hybridsort3,344,343,346.5,348.5,346,342,348,344,345,343.5,344,343,346.5,348.5,346,342,348,344,345,343.5
hotspot3D,3133.5,3216.5,3119,3145.5,3132,3113,3139.5,3220.5,3146.5,3216,1044.5,1072.1666665,1039.6666665,1048.5,1044,1037.666667,1046.5,1073.5,1048.8333335,1072
cfd,101,99.5,102,100,102,101,100.5,100.5,102.5,102,101,99.5,102,100,102,101,100.5,100.5,102.5,102
bptree,3045.5,3030.5,3034.5,3037,3030.5,3029.5,3031,3037.5,3054.5,3031.5,3045.5,3030.5,3034.5,3037,3030.5,3029.5,3031,3037.5,3054.5,3031.5
particlefilter1,50392,50388.5,50389,50384.5,50387.5,50403,50394.5,50387.5,50404,50394,50392,50388.5,50389,50384.5,50387.5,50403,50394.5,50387.5,50404,50394
particlefilter2,8804,8802,8802,8805,8803.5,8802.5,8804,8804.5,8803,8805,8804,8802,8802,8805,8803.5,8802.5,8804,8804.5,8803,8805
streamcluster,882,882,875,886.5,881,908,894,893,894.5,898,882,882,875,886.5,881,908,894,893,894.5,898
bfs,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
fft,71.5,70.5,70.5,70.5,70,71.5,68.5,71,70,71.5,71.5,70.5,70.5,70.5,70,71.5,68.5,71,70,71.5
gemm,50,49,49.5,48.5,50,49.5,49,49.5,50.5,49.5,50,49,49.5,48.5,50,49.5,49,49.5,50.5,49.5
md,885,883,884.5,883,884,883.5,884,883,882,888.5,885,883,884.5,883,884,883.5,884,883,882,888.5
md5hash,10134,10132,10174,10132.5,10138,10135,10137.5,10134.5,10135,10136.5,10134,10132,10174,10132.5,10138,10135,10137.5,10134.5,10135,10136.5
reduction,45,45,45,44,45,44.5,45.5,44,45.5,44.5,45,45,45,44,45,44.5,45.5,44,45.5,44.5
spmv,140,137.5,137,137,137,136,136.5,135.5,136,137,140,137.5,137,137,137,136,136.5,135.5,136,137
stencil2d,100,106,107.5,99.5,101,101.5,102.5,102.5,102.5,101.5,100,106,107.5,99.5,101,101.5,102.5,102.5,102.5,101.5
scan,81,79.5,79.5,79.5,80,80.5,81.5,81.5,81,79.5,81,79.5,79.5,79.5,80,80.5,81.5,81.5,81,79.5
ndrsd1,1405.5,1409.5,1399.5,1409,1397.5,1400.5,1412,1397,1389.5,1407.5,1405.5,1409.5,1399.5,1409,1397.5,1400.5,1412,1397,1389.5,1407.5
ndrsd2,3337,3342.5,3336,3338,3338.5,3346.5,3338,3337,3337.5,3343.5,3337,3342.5,3336,3338,3338.5,3346.5,3338,3337,3337.5,3343.5
ndrsd3,378.5,371,372,372.5,371.5,381,375.5,371,373,375,378.5,371,372,372.5,371.5,381,375.5,371,373,375
ndrsd4,7197,7200,7203.5,7201.5,7213,7205.5,7203.5,7202.5,7202,7206,7197,7200,7203.5,7201.5,7213,7205.5,7203.5,7202.5,7202,7206
ndrsdfull,7301.5,7236.5,7240,7245,7280.5,7266,7253,7290,7245,7285,7301.5,7236.5,7240,7245,7280.5,7266,7253,7290,7245,7285
