kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,648,645,619,583,641,604,634,626,619,602,648.000000,645.000000,619.000000,583.000000,641.000000,604.000000,634.000000,626.000000,619.000000,602.000000
poisson2,830,790,849,798,819,866,773,814,811,872,830.000000,790.000000,849.000000,798.000000,819.000000,866.000000,773.000000,814.000000,811.000000,872.000000
bitonic1,2274,2258,2258,2265,2285,2286,2252,2335,2282,2332,2274.000000,2258.000000,2258.000000,2265.000000,2285.000000,2286.000000,2252.000000,2335.000000,2282.000000,2332.000000
bitonic2,1017,1001,1043,1014,1010,1039,1057,998,1013,1025,1017.000000,1001.000000,1043.000000,1014.000000,1010.000000,1039.000000,1057.000000,998.000000,1013.000000,1025.000000
bitonic3,1931,1926,1949,1928,1930,1937,1934,1941,1953,1996,1931.000000,1926.000000,1949.000000,1928.000000,1930.000000,1937.000000,1934.000000,1941.000000,1953.000000,1996.000000
nw1,56574,57566,57714,56931,57384,56480,57664,56841,56714,55611,441.984375,449.734375,450.890625,444.773438,448.312500,441.250000,450.500000,444.070312,443.078125,434.460938
nw2,55994,56862,55950,55348,55808,55320,56208,55314,57007,55185,440.897638,447.732283,440.551181,435.811024,439.433071,435.590551,442.582677,435.543307,448.874016,434.527559
hotspot,628,620,657,620,632,643,618,620,653,633,628.000000,620.000000,657.000000,620.000000,632.000000,643.000000,618.000000,620.000000,653.000000,633.000000
hotspot3D,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
pathfinder,399,420,422,451,452,443,453,454,439,439,199.500000,210.000000,211.000000,225.500000,226.000000,221.500000,226.500000,227.000000,219.500000,219.500000
srad,65221,66910,66873,72707,68473,73438,64282,74016,71277,67161,6522.100000,6691.000000,6687.300000,7270.700000,6847.300000,7343.800000,6428.200000,7401.600000,7127.700000,6716.100000
lud1,1041,1005,1006,1006,1007,1027,1050,1042,1034,1049,1041.000000,1005.000000,1006.000000,1006.000000,1007.000000,1027.000000,1050.000000,1042.000000,1034.000000,1049.000000
lud2,3459,3331,3560,3428,3521,3516,3393,3427,3422,3426,3459.000000,3331.000000,3560.000000,3428.000000,3521.000000,3516.000000,3393.000000,3427.000000,3422.000000,3426.000000
lud3,1781,1771,1731,1759,1770,1863,1880,1765,1742,1858,1781.000000,1771.000000,1731.000000,1759.000000,1770.000000,1863.000000,1880.000000,1765.000000,1742.000000,1858.000000
