kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,614,626,645,618,629,609,620,598,639,629,614.000000,626.000000,645.000000,618.000000,629.000000,609.000000,620.000000,598.000000,639.000000,629.000000
poisson2,782,860,783,804,856,811,795,784,782,799,782.000000,860.000000,783.000000,804.000000,856.000000,811.000000,795.000000,784.000000,782.000000,799.000000
bitonic1,2253,2292,2342,2336,2285,2253,2257,2297,2269,2272,2253.000000,2292.000000,2342.000000,2336.000000,2285.000000,2253.000000,2257.000000,2297.000000,2269.000000,2272.000000
bitonic2,1040,1037,1060,1042,1010,1024,1025,1045,999,999,1040.000000,1037.000000,1060.000000,1042.000000,1010.000000,1024.000000,1025.000000,1045.000000,999.000000,999.000000
bitonic3,1966,1905,1990,1949,1929,1909,1986,1982,1989,1933,1966.000000,1905.000000,1990.000000,1949.000000,1929.000000,1909.000000,1986.000000,1982.000000,1989.000000,1933.000000
nw1,57173,57452,57166,55725,56888,57298,57179,56282,55764,56165,446.664062,448.843750,446.609375,435.351562,444.437500,447.640625,446.710938,439.703125,435.656250,438.789062
nw2,55920,56124,56583,55225,55406,55266,56405,56233,55948,55797,440.314961,441.921260,445.535433,434.842520,436.267717,435.165354,444.133858,442.779528,440.535433,439.346457
hotspot,642,632,641,655,652,628,645,617,618,620,642.000000,632.000000,641.000000,655.000000,652.000000,628.000000,645.000000,617.000000,618.000000,620.000000
hotspot3D,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
pathfinder,437,443,438,434,437,439,442,440,412,455,218.500000,221.500000,219.000000,217.000000,218.500000,219.500000,221.000000,220.000000,206.000000,227.500000
srad,78854,63352,70152,64509,73304,65887,68551,73546,72262,67082,7885.400000,6335.200000,7015.200000,6450.900000,7330.400000,6588.700000,6855.100000,7354.600000,7226.200000,6708.200000
lud1,1046,1053,1032,1016,1042,1041,1034,1006,1031,1043,1046.000000,1053.000000,1032.000000,1016.000000,1042.000000,1041.000000,1034.000000,1006.000000,1031.000000,1043.000000
lud2,3583,3400,3489,3492,3609,3498,3406,3626,3321,3408,3583.000000,3400.000000,3489.000000,3492.000000,3609.000000,3498.000000,3406.000000,3626.000000,3321.000000,3408.000000
lud3,1782,1738,1787,1726,1857,1735,1736,1869,1857,1856,1782.000000,1738.000000,1787.000000,1726.000000,1857.000000,1735.000000,1736.000000,1869.000000,1857.000000,1856.000000
