kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,816,839,875,842,814,862,851,849,870,862,816.000000,839.000000,875.000000,842.000000,814.000000,862.000000,851.000000,849.000000,870.000000,862.000000
poisson2,537,618,560,580,589,624,607,543,609,602,537.000000,618.000000,560.000000,580.000000,589.000000,624.000000,607.000000,543.000000,609.000000,602.000000
bitonic1,1674,1687,1740,1731,1731,1748,1735,1701,1659,1739,1674.000000,1687.000000,1740.000000,1731.000000,1731.000000,1748.000000,1735.000000,1701.000000,1659.000000,1739.000000
bitonic2,967,963,965,969,939,964,952,963,941,978,967.000000,963.000000,965.000000,969.000000,939.000000,964.000000,952.000000,963.000000,941.000000,978.000000
bitonic3,970,963,955,966,968,975,952,956,981,961,970.000000,963.000000,955.000000,966.000000,968.000000,975.000000,952.000000,956.000000,981.000000,961.000000
nw1,19817,20247,20292,20464,20028,19831,20211,20103,20223,20335,154.820312,158.179688,158.531250,159.875000,156.468750,154.929688,157.898438,157.054688,157.992188,158.867188
nw2,19000,19353,19490,19383,19100,19451,18918,19207,19210,18993,149.606299,152.385827,153.464567,152.622047,150.393701,153.157480,148.960630,151.236220,151.259843,149.551181
hotspot,502,527,543,547,476,473,499,540,503,538,502.000000,527.000000,543.000000,547.000000,476.000000,473.000000,499.000000,540.000000,503.000000,538.000000
hotspot3D,65922,65760,65779,64591,65648,65462,66561,64970,66091,65240,21974.000000,21920.000000,21926.333333,21530.333333,21882.666667,21820.666667,22187.000000,21656.666667,22030.333333,21746.666667
pathfinder,752,786,783,778,792,770,793,749,756,802,376.000000,393.000000,391.500000,389.000000,396.000000,385.000000,396.500000,374.500000,378.000000,401.000000
srad,14687,14571,14670,14594,14641,14704,14655,14535,14717,14655,1468.700000,1457.100000,1467.000000,1459.400000,1464.100000,1470.400000,1465.500000,1453.500000,1471.700000,1465.500000
lud1,892,917,931,895,911,916,933,875,914,921,892.000000,917.000000,931.000000,895.000000,911.000000,916.000000,933.000000,875.000000,914.000000,921.000000
lud2,1608,1633,1660,1626,1684,1745,1632,1695,1616,1737,1608.000000,1633.000000,1660.000000,1626.000000,1684.000000,1745.000000,1632.000000,1695.000000,1616.000000,1737.000000
lud3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
