kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,867,841,864,843,817,868,861,867,865,845,867.000000,841.000000,864.000000,843.000000,817.000000,868.000000,861.000000,867.000000,865.000000,845.000000
poisson2,554,565,612,553,586,590,596,582,593,591,554.000000,565.000000,612.000000,553.000000,586.000000,590.000000,596.000000,582.000000,593.000000,591.000000
bitonic1,1709,1724,1719,1722,1690,1714,1730,1737,1687,1715,1709.000000,1724.000000,1719.000000,1722.000000,1690.000000,1714.000000,1730.000000,1737.000000,1687.000000,1715.000000
bitonic2,968,960,939,936,939,1009,961,985,975,937,968.000000,960.000000,939.000000,936.000000,939.000000,1009.000000,961.000000,985.000000,975.000000,937.000000
bitonic3,978,971,929,971,953,947,982,989,946,956,978.000000,971.000000,929.000000,971.000000,953.000000,947.000000,982.000000,989.000000,946.000000,956.000000
nw1,20047,20096,20059,20204,20083,20371,19982,20241,20084,19912,156.617188,157.000000,156.710938,157.843750,156.898438,159.148438,156.109375,158.132812,156.906250,155.562500
nw2,19333,18895,19053,19244,19050,19145,19057,19266,18894,19284,152.228346,148.779528,150.023622,151.527559,150.000000,150.748031,150.055118,151.700787,148.771654,151.842520
hotspot,457,543,538,548,509,544,533,484,514,476,457.000000,543.000000,538.000000,548.000000,509.000000,544.000000,533.000000,484.000000,514.000000,476.000000
hotspot3D,65026,67602,65405,65262,64766,66167,65174,66284,65377,66389,21675.333333,22534.000000,21801.666667,21754.000000,21588.666667,22055.666667,21724.666667,22094.666667,21792.333333,22129.666667
pathfinder,762,775,790,818,792,762,737,760,763,777,381.000000,387.500000,395.000000,409.000000,396.000000,381.000000,368.500000,380.000000,381.500000,388.500000
srad,14547,14673,14650,14693,14676,14541,14673,14707,14624,14630,1454.700000,1467.300000,1465.000000,1469.300000,1467.600000,1454.100000,1467.300000,1470.700000,1462.400000,1463.000000
lud1,928,918,877,922,905,925,935,875,923,912,928.000000,918.000000,877.000000,922.000000,905.000000,925.000000,935.000000,875.000000,923.000000,912.000000
lud2,1655,1672,1621,1715,1725,1706,1613,1691,1690,1721,1655.000000,1672.000000,1621.000000,1715.000000,1725.000000,1706.000000,1613.000000,1691.000000,1690.000000,1721.000000
lud3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
