kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,512,512,515,512,517,518,511,513,520,515,512.000000,512.000000,515.000000,512.000000,517.000000,518.000000,511.000000,513.000000,520.000000,515.000000
poisson2,412,411,416,412,412,410,414,410,413,412,412.000000,411.000000,416.000000,412.000000,412.000000,410.000000,414.000000,410.000000,413.000000,412.000000
bitonic1,51,50,50,50,50,51,50,51,57,51,51.000000,50.000000,50.000000,50.000000,50.000000,51.000000,50.000000,51.000000,57.000000,51.000000
bitonic2,49,49,49,49,50,50,49,50,48,51,49.000000,49.000000,49.000000,49.000000,50.000000,50.000000,49.000000,50.000000,48.000000,51.000000
bitonic3,48,47,48,48,47,48,47,47,48,49,48.000000,47.000000,48.000000,48.000000,47.000000,48.000000,47.000000,47.000000,48.000000,49.000000
nw1,6225,6057,6161,6080,6116,6195,6229,6182,6167,6187,48.632812,47.320312,48.132812,47.500000,47.781250,48.398438,48.664062,48.296875,48.179688,48.335938
nw2,5972,5911,5931,5988,5896,5917,5937,5910,5994,5948,47.023622,46.543307,46.700787,47.149606,46.425197,46.590551,46.748031,46.535433,47.196850,46.834646
hotspot,,,,,,,,,,,,,,,,,,,,
hotspot3D,3101,3096,3105,3108,3118,3111,3288,3103,3099,3106,1033.666667,1032.000000,1035.000000,1036.000000,1039.333333,1037.000000,1096.000000,1034.333333,1033.000000,1035.333333
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,3186,3187,3179,3186,3191,3332,3244,3319,3201,3349,318.600000,318.700000,317.900000,318.600000,319.100000,333.200000,324.400000,331.900000,320.100000,334.900000
lud1,,,,,,,,,,,,,,,,,,,,
lud2,,,,,,,,,,,,,,,,,,,,
lud3,,,,,,,,,,,,,,,,,,,,
