kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,515,512,517,518,520,516,520,521,513,516,515.000000,512.000000,517.000000,518.000000,520.000000,516.000000,520.000000,521.000000,513.000000,516.000000
poisson2,420,413,412,414,411,410,413,413,410,413,420.000000,413.000000,412.000000,414.000000,411.000000,410.000000,413.000000,413.000000,410.000000,413.000000
bitonic1,50,49,51,58,50,50,50,50,50,50,50.000000,49.000000,51.000000,58.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000
bitonic2,50,49,50,49,49,50,50,49,49,49,50.000000,49.000000,50.000000,49.000000,49.000000,50.000000,50.000000,49.000000,49.000000,49.000000
bitonic3,48,48,47,48,47,48,48,48,48,48,48.000000,48.000000,47.000000,48.000000,47.000000,48.000000,48.000000,48.000000,48.000000,48.000000
nw1,6200,6223,6261,6200,6089,6135,6060,6223,6097,6129,48.437500,48.617188,48.914062,48.437500,47.570312,47.929688,47.343750,48.617188,47.632812,47.882812
nw2,5992,5898,5966,5940,5955,5967,5967,6037,5961,6059,47.181102,46.440945,46.976378,46.771654,46.889764,46.984252,46.984252,47.535433,46.937008,47.708661
hotspot,,,,,,,,,,,,,,,,,,,,
hotspot3D,3108,3288,3098,3101,3106,3106,3105,3100,3100,3271,1036.000000,1096.000000,1032.666667,1033.666667,1035.333333,1035.333333,1035.000000,1033.333333,1033.333333,1090.333333
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,3178,3185,3181,3189,3185,3188,3177,3187,3181,3177,317.800000,318.500000,318.100000,318.900000,318.500000,318.800000,317.700000,318.700000,318.100000,317.700000
lud1,,,,,,,,,,,,,,,,,,,,
lud2,,,,,,,,,,,,,,,,,,,,
lud3,,,,,,,,,,,,,,,,,,,,
