kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,146,140,138,141,139,139,136,140,137,142,146.000000,140.000000,138.000000,141.000000,139.000000,139.000000,136.000000,140.000000,137.000000,142.000000
poisson2,100,100,99,106,98,109,98,97,97,100,100.000000,100.000000,99.000000,106.000000,98.000000,109.000000,98.000000,97.000000,97.000000,100.000000
bitonic1,37,35,35,35,35,36,36,35,36,35,37.000000,35.000000,35.000000,35.000000,35.000000,36.000000,36.000000,35.000000,36.000000,35.000000
bitonic2,39,38,38,38,38,39,39,37,40,37,39.000000,38.000000,38.000000,38.000000,38.000000,39.000000,39.000000,37.000000,40.000000,37.000000
bitonic3,36,36,35,35,34,34,35,34,33,34,36.000000,36.000000,35.000000,35.000000,34.000000,34.000000,35.000000,34.000000,33.000000,34.000000
nw1,3953,3924,3789,3876,3832,3867,3884,3886,3863,3868,30.882812,30.656250,29.601562,30.281250,29.937500,30.210938,30.343750,30.359375,30.179688,30.218750
nw2,4016,3797,4123,3800,3683,3824,3929,3794,3833,3794,31.622047,29.897638,32.464567,29.921260,29.000000,30.110236,30.937008,29.874016,30.181102,29.874016
hotspot,,,,,,,,,,,,,,,,,,,,
hotspot3D,552,554,552,553,554,548,559,552,554,553,184.000000,184.666667,184.000000,184.333333,184.666667,182.666667,186.333333,184.000000,184.666667,184.333333
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,764,758,756,762,763,757,758,770,769,763,76.400000,75.800000,75.600000,76.200000,76.300000,75.700000,75.800000,77.000000,76.900000,76.300000
lud1,,,,,,,,,,,,,,,,,,,,
lud2,,,,,,,,,,,,,,,,,,,,
lud3,,,,,,,,,,,,,,,,,,,,
