kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
poisson1,142,143,139,138,140,140,137,138,141,140,142.000000,143.000000,139.000000,138.000000,140.000000,140.000000,137.000000,138.000000,141.000000,140.000000
poisson2,101,101,102,100,99,100,99,105,101,105,101.000000,101.000000,102.000000,100.000000,99.000000,100.000000,99.000000,105.000000,101.000000,105.000000
bitonic1,35,35,34,36,35,34,34,35,36,36,35.000000,35.000000,34.000000,36.000000,35.000000,34.000000,34.000000,35.000000,36.000000,36.000000
bitonic2,38,39,37,40,39,38,38,39,38,38,38.000000,39.000000,37.000000,40.000000,39.000000,38.000000,38.000000,39.000000,38.000000,38.000000
bitonic3,42,35,34,35,33,35,35,34,36,35,42.000000,35.000000,34.000000,35.000000,33.000000,35.000000,35.000000,34.000000,36.000000,35.000000
nw1,3882,3909,3793,3934,3910,3939,3863,3932,3841,3923,30.328125,30.539062,29.632812,30.734375,30.546875,30.773438,30.179688,30.718750,30.007812,30.648438
nw2,3853,3877,3771,3820,3835,3778,3853,3844,3835,3843,30.338583,30.527559,29.692913,30.078740,30.196850,29.748031,30.338583,30.267717,30.196850,30.259843
hotspot,,,,,,,,,,,,,,,,,,,,
hotspot3D,549,553,557,545,548,549,547,564,564,549,183.000000,184.333333,185.666667,181.666667,182.666667,183.000000,182.333333,188.000000,188.000000,183.000000
pathfinder,,,,,,,,,,,,,,,,,,,,
srad,770,773,780,770,771,776,775,776,765,764,77.000000,77.300000,78.000000,77.000000,77.100000,77.600000,77.500000,77.600000,76.500000,76.400000
lud1,,,,,,,,,,,,,,,,,,,,
lud2,,,,,,,,,,,,,,,,,,,,
lud3,,,,,,,,,,,,,,,,,,,,
